,Date,Tweets
16,2022-07-29,"RT @thetravelradar: Today, #UnitedAirlines announced new direct flights between #Washington D.C 🇺🇸and Cape Town 🇿🇦.In doing so, the major U…"
17,2022-07-29,RT @naik_ameet: @united nice job reassigning our seats and putting a 5yr old in a middle seat next to two strangers on a red eye flight. Ho…
18,2022-07-29,"Today, #UnitedAirlines announced new direct flights between #Washington D.C 🇺🇸and Cape Town 🇿🇦.In doing so, the major U.S carrier became the first airline to provide a nonstop roundtrip service from the capital of the #US to #SouthAfrica’s capital. @united https://t.co/r9f03FZhJg"
19,2022-07-29,@united nice job reassigning our seats and putting a 5yr old in a middle seat next to two strangers on a red eye flight. How well do you think that flight is going to go?  #UnitedAirlines
20,2022-07-29,"RT @Tourism_Update: BREAKING: United offers nonstop Washington-CPT flights
https://t.co/PDTCVTGXVB via @tourism_update #tourism #unitedAIRL…"
21,2022-07-29,"RT @Tourism_Update: BREAKING: United offers nonstop Washington-CPT flights
https://t.co/PDTCVTGXVB via @tourism_update #tourism #unitedAIRL…"
22,2022-07-29,"SJU United Frontline employees request JOB SECURITY, NOW.
#united #unitedAIRLINES #iam141 @cnnbrk @CNN @MikeHannaUAL #beingunited #goodleadstheway
@IAMdistrict141 @kategebo
@tobyatunited @united @sashajdc"
23,2022-07-29,"RT @Tourism_Update: BREAKING: United offers nonstop Washington-CPT flights
https://t.co/PDTCVTGXVB via @tourism_update #tourism #unitedAIRL…"
24,2022-07-29,#UnitedAirlines: Photos of Video Allegedly Picked Up Donald Trump's Grannies'
25,2022-07-29,"RT @BoeingSCSpotter: New 787-10 for United N17017 LN1131 United departing on a quick FCF flight around the SAV, CAE and FLO VOR's. #united…"
26,2022-07-29,"RT @BoeingSCSpotter: New 787-10 for United N17017 LN1131 United departing on a quick FCF flight around the SAV, CAE and FLO VOR's. #united…"
27,2022-07-29,"RT @BoeingSCSpotter: New 787-10 for United N17017 LN1131 United departing on a quick FCF flight around the SAV, CAE and FLO VOR's. #united…"
28,2022-07-29,"RT @BoeingSCSpotter: New 787-10 for United N17017 LN1131 United departing on a quick FCF flight around the SAV, CAE and FLO VOR's. #united…"
29,2022-07-29,"RT @BoeingSCSpotter: New 787-10 for United N17017 LN1131 United departing on a quick FCF flight around the SAV, CAE and FLO VOR's. #united…"
30,2022-07-29,United to End Service Between San Diego and Los Angeles https://t.co/BpEOJrkgF9 #unitedairlines https://t.co/Bqi3Z4leEg
31,2022-07-29,#unitedAIRLINES you suck! I said what I said
32,2022-07-29,"RT @BoeingSCSpotter: New 787-10 for United N17017 LN1131 United departing on a quick FCF flight around the SAV, CAE and FLO VOR's. #united…"
33,2022-07-29,"RT @IAMDistrict141: #LAX MEMBERS (RSE, SOR, CS, JL, and JG) WANT THEIR FAIR #CONTRACTNOW!
Thank you to AGC Terry Stansbury for your hard wo…"
34,2022-07-29,RT @ClaimDelay: United Airlines CANCELLED again! Were you on flight UA17 on 29th July 2022 from London Heathrow Airport to Newark Liberty…
35,2022-07-29,"RT @n194at: United Airlines
Boeing 747-422 N128UA
SFO/KSFO San Francisco International Airport
Photo credit Sergey Rimsha | November 6, 201…"
36,2022-07-29,"#LAX MEMBERS (RSE, SOR, CS, JL, and JG) WANT THEIR FAIR #CONTRACTNOW!
Thank you to AGC Terry Stansbury for your hard work! 
#GOIAM #MACHINISTUNION #IAMUNION #IAMSOLIDARITY #UnitedAirlines https://t.co/QfzLxQst7z"
37,2022-07-29,RT @ClaimDelay: United Airlines CANCELLED again! Were you on flight UA17 on 29th July 2022 from London Heathrow Airport to Newark Liberty…
38,2022-07-29,United Airlines CANCELLED again! Were you on flight UA17 on 29th July 2022 from London Heathrow Airport to Newark Liberty  Airport? You could claim upto £540! #Friday  #flightdelay #Newark #London #UnitedAirlines Claim Now: https://t.co/XPcVjySgoP https://t.co/O6tUXPs5si
39,2022-07-29,"MCGICares🌟Subs🖌️ and🔔⏬
https://t.co/fd376eCZc6

#COVID19 #COVID19France #UnitedStates #UsaCubrebocas #USA #MCGICares #usagi撮影会 #SaintLaurent #SaintRampalJiQuotes #UnitedKingdom #unitedAIRLINES #GreatEthiopianHomeComing #AfricaPrevails #africanart #AfricanMusic #GreatBritain https://t.co/r79DfobDL6"
40,2022-07-29,"So how many millions of @united customers are actually due refunds but will never receive them? 

Ashley Rodriguez Dept Supervisor from Philippines. Case ID# …. 77200

#UnitedAirlines"
41,2022-07-29,"RT @BoeingSCSpotter: New 787-10 for United N17017 LN1131 United departing on a quick FCF flight around the SAV, CAE and FLO VOR's. #united…"
42,2022-07-29,"RT @Indian_Spotter: 𝙂𝙀𝟵𝟬𝘀 𝙖𝙩 𝙬𝙤𝙧𝙠! 🌊⁣
🇺🇸 United Airlines B777-300ER (N2136U) outbound Newark (EWR) as UA830 amid a heavy spell of rain at C…"
43,2022-07-29,"#UnitedAirlines announced new direct flights between #Washington Dulles Airport and #CapeTown, becoming the first airline to provide nonstop roundtrip service from our nation's capital to #SouthAfrica.

@united
https://t.co/HlcZrZTU3F"
44,2022-07-29,"RT @BoeingSCSpotter: New 787-10 for United N17017 LN1131 United departing on a quick FCF flight around the SAV, CAE and FLO VOR's. #united…"
45,2022-07-29,"RT @BoeingSCSpotter: New 787-10 for United N17017 LN1131 United departing on a quick FCF flight around the SAV, CAE and FLO VOR's. #united…"
46,2022-07-29,"#UnitedAirlines announces 2nd Quarter Financial Results -- Returns to Profitability
https://t.co/A9cDas1wMF https://t.co/NzRlqiqdc2"
47,2022-07-29,"RT @BoeingSCSpotter: New 787-10 for United N17017 LN1131 United departing on a quick FCF flight around the SAV, CAE and FLO VOR's. #united…"
48,2022-07-29,"RT @BoeingSCSpotter: New 787-10 for United N17017 LN1131 United departing on a quick FCF flight around the SAV, CAE and FLO VOR's. #united…"
49,2022-07-29,"RT @Indian_Spotter: 𝙂𝙀𝟵𝟬𝘀 𝙖𝙩 𝙬𝙤𝙧𝙠! 🌊⁣
🇺🇸 United Airlines B777-300ER (N2136U) outbound Newark (EWR) as UA830 amid a heavy spell of rain at C…"
50,2022-07-29,"RT @BoeingSCSpotter: New 787-10 for United N17017 LN1131 United departing on a quick FCF flight around the SAV, CAE and FLO VOR's. #united…"
51,2022-07-29,Did you fly with United Airlines? Were you on flight UA17 on 28th July 2022 from London Heathrow Airport to Newark Liberty  Airport? If so you are due compensation! #travel  #flightdelay #Newark #London #UnitedAirlines Claim Now: https://t.co/XPcVjySgoP https://t.co/MpUUMeDqtl
52,2022-07-29,"RT @thejaxblog: RT @Tourism_Update: BREAKING: United offers nonstop Washington-CPT flights
https://t.co/HnQUrCU15b via @tourism_update #tou…"
53,2022-07-29,"RT @Tourism_Update: BREAKING: United offers nonstop Washington-CPT flights
https://t.co/HnQUrCU15b via @tourism_update #tourism #unitedAIRLINES"
54,2022-07-29,"RT @Indian_Spotter: 𝙂𝙀𝟵𝟬𝘀 𝙖𝙩 𝙬𝙤𝙧𝙠! 🌊⁣
🇺🇸 United Airlines B777-300ER (N2136U) outbound Newark (EWR) as UA830 amid a heavy spell of rain at C…"
55,2022-07-29,"BREAKING: United offers nonstop Washington-CPT flights
https://t.co/PDTCVTGXVB via @tourism_update #tourism #unitedAIRLINES"
56,2022-07-29,"RT @BoeingSCSpotter: New 787-10 for United N17017 LN1131 United departing on a quick FCF flight around the SAV, CAE and FLO VOR's. #united…"
57,2022-07-29,"RT @BoeingSCSpotter: New 787-10 for United N17017 LN1131 United departing on a quick FCF flight around the SAV, CAE and FLO VOR's. #united…"
58,2022-07-29,"RT @ihaviation: ⁦@united⁩ Airlines to launch nonstop flight between Washington DC and Cape Town

#united #unitedairlines #unitedstates #us…"
59,2022-07-29,"⁦@united⁩ Airlines to launch nonstop flight between Washington DC and Cape Town

#united #unitedairlines #unitedstates #us #usa #capetown #southafrica #africa #washingtondc #flights #airline #aviation #news #avgeek #avgeeks

Read the full story here: https://t.co/9YbGPUquZ4"
60,2022-07-29,"#unitedAIRLINES frustrating customer service. Promised a travel voucher in ROC after delayed departure, but ORD refused to deliver. Stuck in ORD at midnight and I cancelled my connection to MKE. Someone contact me—very disgruntled with your service!!"
61,2022-07-29,"RT @BoeingSCSpotter: New 787-10 for United N17017 LN1131 United departing on a quick FCF flight around the SAV, CAE and FLO VOR's. #united…"
62,2022-07-29,"RT @Indian_Spotter: 𝙂𝙀𝟵𝟬𝘀 𝙖𝙩 𝙬𝙤𝙧𝙠! 🌊⁣
🇺🇸 United Airlines B777-300ER (N2136U) outbound Newark (EWR) as UA830 amid a heavy spell of rain at C…"
63,2022-07-29,"RT @BoeingSCSpotter: New 787-10 for United N17017 LN1131 United departing on a quick FCF flight around the SAV, CAE and FLO VOR's. #united…"
64,2022-07-29,"Oh yay, changing planes after 2 hours of sitting on the last one @united #musicalplanes without the music #unitedsucks #unitedAIRLINES"
65,2022-07-29,"It was the cloudiest flight I've ever seen but I still got the @united Newark to Vegas (part 2) flight for you 🛫🛬.
.
.
.
#ewr #lasvegas #newarkairport #america #usa #flight #unitedairlines #flythefriendlyskies #vegas #lv https://t.co/yT8fRRMCeB"
66,2022-07-29,"Bought Polaris tickets on @united from NYC to SF with my Fiancé and Puppy. Once on board l, the flight attendants tells us we can’t have a dog in First Class. We had a choice, get off or sit in coach. Not communicated nicely of course. Absolutely furious! #unitedAIRLINES"
67,2022-07-29,"RT @Indian_Spotter: 𝙂𝙀𝟵𝟬𝘀 𝙖𝙩 𝙬𝙤𝙧𝙠! 🌊⁣
🇺🇸 United Airlines B777-300ER (N2136U) outbound Newark (EWR) as UA830 amid a heavy spell of rain at C…"
68,2022-07-29,"RT @Indian_Spotter: 𝙂𝙀𝟵𝟬𝘀 𝙖𝙩 𝙬𝙤𝙧𝙠! 🌊⁣
🇺🇸 United Airlines B777-300ER (N2136U) outbound Newark (EWR) as UA830 amid a heavy spell of rain at C…"
69,2022-07-29,"RT @BoeingSCSpotter: New 787-10 for United N17017 LN1131 United departing on a quick FCF flight around the SAV, CAE and FLO VOR's. #united…"
70,2022-07-29,"What a great day for celebrating! 
Today my friend and revered colleague, Ned Calderone, celebrated 25 years of leadership with United Airlines! Hats off to this TOP PRO and gem of a human being for all you do! #dispatchrocks #beingunited #unitednoc #unitedairlines https://t.co/axwe1R2nIi"
71,2022-07-29,"#UnitedAirlines: UK Weather News Nurse Responds to Donald Trump Criticism With McDonald's Order, Report Says"
72,2022-07-29,RT @leisofhawaii: Aloha &amp; Welcome To Hawaii 🌺 #leisofhawaii #AirportLeiGreeting #oahu #maui #kauai #hawaii #arrival #leisofhawaii.com #airp…
73,2022-07-28,"Hello @united I'm one of your pilot. Need your support in achieving my childhood dream. N trust me I'm going to be one of the most selfless aviators you would ever love to have in your great family.

This is your captain speaking!!

#United #unitedAIRLINES #pilot #BBNaija #apm https://t.co/iEPaOaxWYQ"
74,2022-07-28,RT @Thinkwithniche: United Airlines offers two types of economy tickets: Basic Economy and Economy. The Basic Economy fare is less expensiv…
75,2022-07-28,#unitedAIRLINES what’s going on with flight 4403 out of Newark? Why the repeated delay?
76,2022-07-28,"Time flies ✈️ when you’re having fun, connecting people and uniting the world! Thanks to our Customers ❤️, FAA and government partners, and to our fab team for being awesome and fostering an intrapreneurial spirit! Good leads the way! 
#beingunited #faa #unitedAIRLINES https://t.co/igLj4l5Ffv"
77,2022-07-28,RT @Thinkwithniche: United Airlines offers two types of economy tickets: Basic Economy and Economy. The Basic Economy fare is less expensiv…
78,2022-07-28,"RT @BoeingSCSpotter: New 787-10 for United N17017 LN1131 United departing on a quick FCF flight around the SAV, CAE and FLO VOR's. #united…"
79,2022-07-28,RT @Thinkwithniche: United Airlines offers two types of economy tickets: Basic Economy and Economy. The Basic Economy fare is less expensiv…
80,2022-07-28,"RT @BoeingSCSpotter: New 787-10 for United N17017 LN1131 United departing on a quick FCF flight around the SAV, CAE and FLO VOR's. #united…"
81,2022-07-28,"RT @IAMDistrict141: #SFO MEMBERS (Ramp, Customer Service &amp; Security) WANT THEIR FAIR #CONTRACTNOW!
Thank you to AGC'S Troy Rivera &amp; Olu Aje…"
82,2022-07-28,"Go support your team!!! 🏈 #unitedairlines #collegefootball 
https://t.co/om4q3hLeGI"
83,2022-07-28,"Welcome to Atlanta! Share your @united pictures with us! 

#unitedairlines #ua #united #atlanta"
84,2022-07-28,This guy is sitting on the floor of our gate where there are seats everywhere. #wtf #unitedairlines
85,2022-07-28,"RT @BoeingSCSpotter: New 787-10 for United N17017 LN1131 United departing on a quick FCF flight around the SAV, CAE and FLO VOR's. #united…"
86,2022-07-28,"RT @BoeingSCSpotter: New 787-10 for United N17017 LN1131 United departing on a quick FCF flight around the SAV, CAE and FLO VOR's. #united…"
87,2022-07-28,"RT @BoeingSCSpotter: New 787-10 for United N17017 LN1131 United departing on a quick FCF flight around the SAV, CAE and FLO VOR's. #united…"
88,2022-07-28,"New 787-10 for United N17017 LN1131 United departing on a quick FCF flight around the SAV, CAE and FLO VOR's. #united #unitedairlines #boeing #dreamliner #boeingsc #aviation #avgeek #planespotting https://t.co/SFibs6M6xL"
89,2022-07-28,#UnitedAirlines #ChicagoOhare The jam on carousel 5 finally uncleared after nearly an hour! Give the kicker a contract #DaBears #Fragile #Oops #ThisSideUp #Unbreakable https://t.co/ZeBmo4rTHE
90,2022-07-28,"ICAO: A8BD6A
Flt: UAL934 #UnitedAirlines #EWR-#LHR
First seen: 2022/07/28 19:31:55
Min Alt: 26925 ft MSL
Min Dist: 0.61 nm

#planefence #adsb 
https://t.co/o94pgtpi0f https://t.co/C8RASO6TcW"
91,2022-07-28,"RT @Indian_Spotter: 𝙂𝙀𝟵𝟬𝘀 𝙖𝙩 𝙬𝙤𝙧𝙠! 🌊⁣
🇺🇸 United Airlines B777-300ER (N2136U) outbound Newark (EWR) as UA830 amid a heavy spell of rain at C…"
92,2022-07-28,"JetBlue to Buy Spirit Airlines for $3.8 Billion

https://t.co/DUOazXn6Um

#jetblue #travel #spiritairlines #aircanada #americanairlines #hawaii #stocks #stockmarket #stocknews #investingnews #investors #southwestairlines #unitedairlines #deltaairline #travelblog #frontierairlines https://t.co/fK8WiSFABG"
93,2022-07-28,"RT @Indian_Spotter: 𝙂𝙀𝟵𝟬𝘀 𝙖𝙩 𝙬𝙤𝙧𝙠! 🌊⁣
🇺🇸 United Airlines B777-300ER (N2136U) outbound Newark (EWR) as UA830 amid a heavy spell of rain at C…"
94,2022-07-28,"𝙂𝙀𝟵𝟬𝘀 𝙖𝙩 𝙬𝙤𝙧𝙠! 🌊⁣
🇺🇸 United Airlines B777-300ER (N2136U) outbound Newark (EWR) as UA830 amid a heavy spell of rain at CSMIA Mumbai. 🌧⁣

#United #UnitedAirlines #Boeing777 #B777  #Planespotting #Aviationphotography #Aviation #AvGeek #MumbaiRains #TBT https://t.co/dZl6qCHzjA"
95,2022-07-28,We’re at our gate!  I so appreciate the kind and helpful employees at #DIA for their help getting #SnoopDog and me to our gate efficiently.  #Denver #UnitedAirlines https://t.co/PGkY5mwIBL
96,2022-07-28,"RT @IAMDistrict141: #SFO MEMBERS (Ramp, Customer Service &amp; Security) WANT THEIR FAIR #CONTRACTNOW!
Thank you to AGC'S Troy Rivera &amp; Olu Aje…"
97,2022-07-28,"#SFO MEMBERS (Ramp, Customer Service &amp; Security) WANT THEIR FAIR #CONTRACTNOW!
Thank you to AGC'S Troy Rivera &amp; Olu Ajetomobi for your hard work! 
#GOIAM #MACHINISTUNION #IAMUNION #IAMSOLIDARITY #UnitedAirlines https://t.co/qWOVvUPLXJ"
98,2022-07-28,"@ReMillington @united @unitedsucksbuzz @united #unitedAIRLINES  - they have been horrible to work with and nobody is taking responsibility for anything! I'm sorry you had to deal with such a horrible experience, especially while traveling with a baby!"
99,2022-07-28,@united y’all cannot be serious with this ridiculous service. I landed 3+ hours late after y’all delayed/canceled/rerouted us to ANOTHER STATE and you gave me a cursory “thanks for letting us know” response. Are you fucking serious #unitedairlines #trash
100,2022-07-28,RT @ReMillington: How @united made my first vacation with my 6 months old baby a complete nightmare!!! Follow the tread and share it! #airl…
101,2022-07-28,#UnitedAirlines set for nonstop flights between #WashingtonDC and #CapeTown https://t.co/CF9xwddaK6
102,2022-07-28,"Another Stormy day! 

📸: Capt. Alex B.

#unitedairlines #beingunited #boeing #airbus #crewlife #planespotter #airline #airport #msfs2020 #xplane11 #p3d #instaplane #pilot #aviation #avgeek #flight #pilotlife #vatsim #virtualairline #ramplife #landing #vuainc https://t.co/F2Sqe7jZHr"
103,2022-07-28,How @united made my first vacation with my 6 months old baby a complete nightmare!!! Follow the tread and share it! #airline #UnitedAirlines @unitedsucksbuzz #unitedairlinessucks https://t.co/vFhJTOR15V
104,2022-07-28,📷 Off to ATL #newarkairport #unitedairlines @united @ewrairport #goingsouth (at Newark International Airport Terminal C- United Airlines) https://t.co/kg3eBAWRu5 https://t.co/39yknOPsK9
105,2022-07-28,@united This will be our 3rd flight trying to get home to ORD. Prior flight nos were 119 on 26 July and 37 on 27 July. Pls say that they will hold the EWR-ORD flight no 1659 on 28 July for us bc I don’t think we will have Enuf time  #united #unitedairlines TIA
106,2022-07-28,"@united Hello, we *did not* go thru us customs here. That area was locked. No one else on our flight did either. We are on flight 3049 to ewr arrives 448 pm. Our flight 1659 to ORD departs at 629 pm. Pls advise this does not seem like enough time #united #unitedairlines"
107,2022-07-28,"Follow @johnsfinancetips for more Personal Finance Cheat Codes! #USA #Lithuania #SouthAfrica #Pakistan #Indian #UAE #Ukraine️ #UK #EU #Brazil #Netherlands #Ad
#americanaairlines #unitedairlines #deltaairlines #flightbump #flighthack #travelhack #personalfinance #johnsfinancetips https://t.co/rp70cX5Bdn"
108,2022-07-28,"When the Joint Safety Audit is conducted by Ramp Manager Alice, Safety Manager Gianna and TRC Federico, you are assured of the best incident prevention and a safe departure.

Safety never takes a sunny day off.

Good leads the safe way!

#UnitedAirlines | @united https://t.co/Ez479X0rWq"
109,2022-07-28,"#UnitedAirlines announces Agreement with CO2 Utilization Company Dimensional Energy Transforming Yesterday's Emissions into Tomorrow's Sustainable Aviation Fuel
https://t.co/gmVLyIzLDF https://t.co/8pSddUosbc"
110,2022-07-28,"Come on @united you can do better! Please fix this, and send my poles home there are competitions ahead and without the poles everything has to be canceled..
#unitedAIRLINES
@WCHoregon22
@WorldAthletics
@astrapartners1
@PRESEGAS
@polevaultpower
@TeamRaiseBar
#polevault
@UCSSPIRIT"
111,2022-07-28,May I know what’s wrong with this flight UA2110 as of July 28th ? It’s so frustrating. They did the boarding and now they say they are seeing issue. #UnitedAirlines
112,2022-07-28,"United Airlines offers two types of economy tickets: Basic Economy and Economy. The Basic Economy fare is less expensive, but there may be limitations on seat.
To know more, Link below
https://t.co/fEJjKEOuBL
#business #unitedeconomy #unitedairlines #earning #thinkwithniche https://t.co/ClaTo1NRIX"
113,2022-07-28,"ICAO: A1FCC5
Flt: UAL990 #UnitedAirlines #SFO-#CDG
First seen: 2022/07/28 08:48:21
Min Alt: 35000 ft MSL
Min Dist: 8.01 nm

#planefence #adsb 
https://t.co/Z8NyZi3Zgq https://t.co/JmeXebN1C0"
114,2022-07-28,"Flight from GUATEMALA to HOUSTON: Security instructions by #UnitedAirlines only in English… Sure, but what about 75% of the non English speaking passengers…? What about your inclusion high standards? #doublestandards"
115,2022-07-28,"ICAO: A8CFFD
Flt: UAL931 #UnitedAirlines #ORD-#LHR
First seen: 2022/07/28 07:45:51
Min Alt: 23500 ft MSL
Min Dist: 1.18 nm

#planefence #adsb 
https://t.co/HIhUgLL4aP https://t.co/v4FNPnPbkk"
116,2022-07-28,United Airline 942 IAD to Lisbon is NOT enforcing Portugal mask mandate required on all aircraft inbound. #unitedairlines #DepartmentofState #United #maskmandate #Portugal #unitedAIRLINES
117,2022-07-28,RT @JigawattJack: I didn’t realize I paid for first class tickets #Morbius #UnitedAirlines https://t.co/dja0UenowX
118,2022-07-27,"@united UA1431 from LAX to HNL delayed again today July 27, 2022 due to more mechanical issues. Looks like “mechanical problems” have been a recurring issue. Maybe it’s time to retire this plane?

#UnitedAirlines #ual #united"
119,2022-07-27,If you’re traveling over Labor Day weekend I suggest book soon… ticket prices just jumped $400 per seat for a trip I should have purchased 5 hrs ago.  Not cool #UnitedAirlines an Expensive lesson for 5 tickets but worth it to show the nephews a good time.
120,2022-07-27,@United is this how you resolve customer complaints? I have to wait a month to be able to even submit my receipt for reimbursement for the hotel I had to stay in because of your mistake? Never flying  #UnitedAirlines again
121,2022-07-27,"It's funny how the United Airlines cabin crew have to learn to say the tongue twister real fast and several times. Also hard for a first-timer to answer when it is a question being asked of them: ""Biscoff or Stroofwafels?"" 😂 And I’m new to #UnitedAirlines"
122,2022-07-27,"UA37 - Incident: United B764 near Shannon on Jul 27th 2022, cabin did not pressurize properly https://t.co/CPwEFf9OQy #flight #incident #UnitedAirlines #UA37 #SNN #EWR"
123,2022-07-27,"RT @kimscorcher: 6 hours later and we are finally leaving Paris. Allegedly. They are making us stop in Chicago, then SF, then LA. No puttin…"
124,2022-07-27,"RT @S_Paxton_at_KCI: Congratulations on a huge milestone, to Kansas Cities new 1 million mile flyer. #goodleadstheway #unitedairlines #mill…"
125,2022-07-27,"Crystal Blue Day to go flying 😍✈️

📸: RJ T.

#airplane #msfs2020 #fsx #p3d #xplane11 #airbus #boeing #planespotting #aviation #virtualairline #vatsim #flightsim #pilot #instaplane #unitedairlines #beingunited #avgeek #airport #flying #crewlife #flightcrew #pilotlife https://t.co/tZKRyKsbuw"
126,2022-07-27,"Of course, there are the outliers – and there are plenty from recent days: #unitedAIRLINES and #Snapchat are two high-profile corrections which have taken place in recent days, largely in-part because investors actually were hoping for better than what they reported. ⬇️"
127,2022-07-27,New United Airlines claim. Were you on flight UA17 on 27th July 2022 from London Heathrow Airport to Newark Liberty  Airport? You could claim upto £540! #Wednesday  #flightdelay #Newark #London #UnitedAirlines Claim Now: https://t.co/XPcVjySgoP https://t.co/aafSOpOSB0
128,2022-07-27,"TheTruthChannel-Subs📝&amp;🔔
https://t.co/fz9rPk6T9x

#COVID19 #COVID19France #UnitedStates #UsaCubrebocas #USA #MCGICares #usagi撮影会 #SaintLaurent #SaintRampalJiQuotes #UnitedKingdom #unitedAIRLINES #GreatEthiopianHomeComing #AfricaPrevails #africanart #AfricanMusic #GreatBritain https://t.co/Jvt1Wzp0zK"
129,2022-07-27,"🇦🇪 🔥 United Airlines $2,166 (Santa Ana ✈️ Dubai) Business Class 🌇🚀 https://t.co/PhCYyQQWQC 

#cheapflights #unitedairlines #travel #dubai #unitedarabemirates"
130,2022-07-27,"RT @S_Paxton_at_KCI: Congratulations on a huge milestone, to Kansas Cities new 1 million mile flyer. #goodleadstheway #unitedairlines #mill…"
131,2022-07-27,"United really be stepping up their game with amazing elevator music during boarding. 

#unitedairlines #elevatormusic https://t.co/PenLBz0NSM"
132,2022-07-27,"Congratulations on a huge milestone, to Kansas Cities new 1 million mile flyer. #goodleadstheway #unitedairlines #millionmiler https://t.co/mLn9uJbKdD"
133,2022-07-27,This is just an horrible nightmare. So sorry for @AnaneBelkis. Shame on the operators #Frankfurtairport #Unitedairlines https://t.co/Hev9VbyBpp
134,2022-07-27,United Airlines to Axe 50 Daily Flights at Newark…About Time a Carrier Stepped Up! https://t.co/w3KQlUwAmi #unitedairlines https://t.co/qCsoCSvMH5
135,2022-07-27,"Cheap Flights - SUMMER - United Airlines $128 (Los Angeles ✈️ Monterey) 🌇🚀 https://t.co/ww6H6LMSbp 

#cheapflights #unitedairlines #travel #monterey #unitedstates"
136,2022-07-27,Cloudy Day #photography #clevelandphotographer #ohiophotographer #aviation #aviationphotography #unitedairlines #ramplife https://t.co/QRpYgXr8dH
137,2022-07-27,You can’t fix big customer service problems if you can’t master the small ones.  #unitedairlines
138,2022-07-27,RT @diecastryan: SFO terminal G at sunset. #sfo #sanfrancisco #united #unitedairlines #boeinglovers #natgeotravel #sfoairport #aviation #av…
139,2022-07-27,@united Hey @united your pilot claims that you guys are cool with him being openly homophobic. So you guys support homophobes? #united #unitedairlines https://t.co/rW7nZiytdN
140,2022-07-27,Reminded again today why #unitedairlines sucks so badly.  FA gave away all the 1st class overhead space to passengers seated farther back.  So glad I paid $2k for a one-way ticket.  She blamed the gate agent of course.  #noaccountability  Would never happen on #DeltaAirlines
141,2022-07-27,"While this shouldn't happen to ANY client, I'm a service-disabled #veteran &amp; #cancer patient being completely mistreated by #UnitedAirlines. Not only did I ask numerous times up front, I even went to the Edinburgh Airport the day before our flight back to double check."
142,2022-07-27,"I 💙 flying. 
…always enjoy United’s airplane art

#FlyTheFriendlySkies #AirplaneArt #UnitedAirlines #FlyUnited ✈️
#art #napkins 💙 #united https://t.co/YQSUfyZSo5"
143,2022-07-27,"6 hours later and we are finally leaving Paris. Allegedly. They are making us stop in Chicago, then SF, then LA. No putting us up. A woman with a heart problem wanted off the plane and they said no. We haven’t eaten except -some- people got snack bags @united #unitedairlines https://t.co/WWiX6t0gBz"
